barcode,product_name,brands
8906080603075,Paperboat Smoked Almonds,Paperboat
8906034998646,,
8901548431542,,
8906117360315,Low Fat Cow Milk,Country Delight
01416596,Original Peanut Butter Powder,MYPB
8904256718240,chip,
8901689010477,Mixed Fruit Jam,Mala's
8901764011108,,Coca-Cola
6425805537584,CLA+ Carnitine,Bpi Sports
9900409220386,,
8908009961372,Eclairs,
94013528200001,,
8901262200646,Probiotic Buttermilk,Amul
8906094750291,Curd,Muralya
8906115880044,,
8906198983557,Biozorb Iso Zero Low Carb Whey Protein Isolate Powder Ice Cream Chocolate,Muscleblaze
8908009961341,Eclairs,
8903081456785,Strawberry Cheesecake Protein Bar,Chase Protein
8904335605546,High Protein Oats Korean Fire,Yoga Bar
8902102128113,UJALA,
8906109490198,Vindaloo Curry Paste,Ferns
0147719245029,coverage,Matt look
8901052010127,Awadhi Style Shahi Paneer Mix,Tata Sampann
8904304501008,Mangopüree,Swad
8906027035112,Kolhapuri Anda Rassa Masala,Savai
8906070218364,Pure Honey,Beehive
9501033111141,,
3948719126468,,
8904300200486,Mario,
00423872,,
8901595864355,Chilli Oil,Ching
3701367600007,Boulette d'énergie Match-Coco,
8906091681277,,
8904258703251,Raw sugar cane,
8906068761858,Peanut butter,
8904004411003,Rusky,Haldiram's
03908778,changes around us,
8904063230010,Haldiram Bhujia400g,"Haldiram, Haldiram's"
8905012800327,,Unknown Brand
8902901223040,Good  life jeera powder,good life
3701367600014,Boulette d'énergie cacao cacahuete,
8904051327111,Sesame sweet ball,
0745125993874,,
8902089020059,TilSona Gold,TilSona
3701367600021,Les Fabuleuses / Boulette d'énergie Pomme-Cannelle,
8904258703237,Raw guav chilli,
8901491100267,Potato Chips,Lay's
0006925644011,Honey,Wayanad Premium
8904300203180,Hdjdks,
7622202318320,,
8908024126039,Pizza Pasta,Repeat Gud
8908015692413,Peri Peri Momos,WOW! Momo
8902167001352,Masala,
8906143892217,Whole Truth Food Apple Beetroot Carrot Vegan Protein Powder,Whole Truth Foods
8901652141337,,
8901052005987,TATA TEA PREMIUM,
8901246006622,Delmonte tometo ketchup800 g,
8904052504269,Dark Choco Nut Icecream Triple Layered,Dinshaw
8901777575147,Rajwadi Basundi,Vadilal
0787099816575,,
8901648092513,Kesar Elaichi Flavored Milk,Mother Dairy
8908020463541,Crax Fruits combo pack,
8909498451054,,
8906003511524,Nimbu Pani,Jalani
8901972061056,Dukes Utsav Danish Butter Cookies,Dukes
8909177024661,,
8906049970026,Sudha Pasteurised Double Toned Milk,Sudha
8908024109049,Crinkle Cut French Fries,Pepizo
8906000211007,Oven cake mix,
8901725135133,Pasta Treat,Sunfeast
0660662088046,Faloda mix,
8904221694241,Soy Protein Isolate,AS-IT-IS ONE
8901088897648,Saffola musli  berry crunch,Saffola
8901262301411,Amul Berry Dazzle Ice Cream,Amul
8906170521586,Pea Protein Vanilla,Nutrabay
8904004411416,Uuhj,
8904043927213,,
8906080603747,Classic salted cashews,Paperboat
8904063210623,Methi Paratha,Haldiram's
8906049069881,Golden mixture,
8908023075369,,
8901719210129,popping,
8906108192390,Loaded Chicken Momos,Licious
8901777379769,Mixed Veg Sandwich,Vadilal
8908004646571,Swirlicious Creme Strawberry Wafer Rolls,Maddox
8906015500400,Sweet corn,Keventer
8906000612842,Mc Cain Aalo tikki,
8901052010172,Punjabi Style Matar Paneer Mix,Tata Sampann
8901052010141,Amritsari Style Panner Tikka Mix,Tata Sampann
8902216212111,,
