barcode,product_name,brands,categories,ingredients_text
0001002883783,nan,Unknown Brand,Open Products Facts,
0001003348823,nan,,,
0001031193773,Creapro,Mb,,
0001039114059,nan,,,
0001105154061,nan,,Protein powders,
00011076,nan,,,
00011115,nan,KO,,
0001117082040,nan,Unknown Brand,,
0001153275660,nan,,,
0001193432309,Sprite,,,
0001203333018,Britannia biscafe,,,
00012139,Kellogg's fruit loops,Kellogg's,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Sweet-breakfast-cereals",
0001225164660,nan,,,
0001228858831,nan,,,
00012344,nan,,,
0001234525412,nan,,,
0001234567999,nan,,,
0001236548984,nan,,,
0001253412282,nan,,,
00014009,nan,,,
0001443189853,nan,,,
0001450300030,Taj mahel 100*1.9,,,
0001455129185,Iso-Zero Cookies And Cream Flavour,Muscleblaze,,
0001507201580,nan,,,
0001523118675,nan,,Drink,
0001540002059,Badshah rajwadi masala,Badshah,,
00015631,nan,,,
0001678530004,BISK FARM Rich Marie,,,
00018964,OKACET 10MG TABLET,,,
00019721,nan,,,
00020191,GOLDEN DALIA,Vital,,
0002123415241,nan,,,
0002440525303,WHITE BREAD,MARUTI,breads,
0002448023023,Patanwala Kesar & Nuts lassi,Patanwala,Lassi,
00024858,Dry Yeast,truly good food,Baker's yeast,
00026795,nan,,,
00026800,Alkem para ®650,,,
00027687,Safawi dates,Aman,Dates,
0002840431316,Apple,,Apple,
0002898284211,nan,,,
0003008811463,Fortune Sugar,,,
0003012692614,melts into hairfall control,Wellbeing Nutrition,Dietary supplements,
0003020031047,nan,,,
0003100013086,nan,,,
0003403639662,nan,,,
0003417682173,nan,,Ghee,
00034872,nan,,,
0003602604690,nan,,,
0003726274070,BHUMI AMLA POWDER,,,
0003839068890,Roasted & Salted Pistachios,Snactac,"Plant-based foods and beverages,Plant-based foods,Snacks,Salty snacks,Nuts and their products,Nuts,Pistachios,Salted nuts,Salted pistachios,Roasted pistachios",
00042523,nan,,,
0004400154035,Value pack,Wonderland,Seeds,
0004405344462,nan,,,
0004454464334,nan,,"foi,Foies gras",
0004535400090,Omega-3 Fish Oil,Apollo Life,,
00045809,chocolate,only,,
0004614504046,AQUAFINA,,,
0004614613960,Paper boat zero,,,
00048184,nan,,,
0005241511445,Apple Vinegar,American Garden,,
00053951,nan,,,
00054602,Noodles,Ruchl hakka,,
0005537835804,Pulpy,Coca cola,,
0005540022901,First crop aloo bhujia 150g,,,
0006262642222,MUSCL,,,
0006451060037,Laxmi narayan chiwda,,,
0006496800490,Thacker dairy Dahi,Thacker Dairy,,
0006497713560,nan,,Food,
0006498585746,nan,,rajma masala,
0006505088420,Fortune soya chunks,Fortune,Soy protein textured rehydrated from soy flour,
0006612572096,Cornitos crisps,,,
0006666001504,nan,,,
0006925644011,Honey,Wayanad Premium,Honey,
0006956009999,riso e cocco,Pam,,
0007000410075,tata soujfuk desi veggie,,,
0007010975021,Popat ganga jamuna,,,
0007011393305,O stwbr,,,
0007012083556,nan,,RAYGADA,
0007015748545,Paper boat jaljeera,,,
0007403004185,more cumin powder 50g,,,
0007739588222,77395 88222,,,
0007987327694,nan,,,
0008004679031,nan,,,
0008008000256,nan,,,
00080884,nan,,,
0008406644675,nan,,,
0008441882056,Gauravkumar,,,
0008492632006,nan,,,
0008670000047,cheddar Block,D'lecta,,
0008699630935,nan,,,
0008840914211,nan,,,
0008860611220,kabuli chana,,,
00088795,nan,Unknown Brand,,
0008919321064,Test Product,,,
0009042502018,Paracetamol tablets IP,,,
0009120523418,nan,,,
0009148838172,nan,,,
0009340000423,Plant Protein,Cosmix,,
0009449011301,sugar,Parry's,sugar,
00094845,Whey Protein Bar Chocolate Fudge,NO!CE,protein bar,
0009553600293,Rambhanu mango pickle,,,
0009558378562,nan,,,
0009767701697,Shampoo,,,
0009842132744,nan,akshaya,Clean country,
0009956130878,nan,,,
0009961930835,nan,,,
0009967767852,nan,,Food,
0009999996595,nan,,,
0010001500145,nan,,,
0010002900100,nan,,,
0010024300270,Crunchy Casheu,Dry Fruit House,,
00100291,nan,,Sofe,
00101929,nan,,,
00103001,Tv,,,
0011002672936,nan,,,
0011003603816,kids puff 3PC set,,,
0011433137065,Momo Dumplings Chicken Curry,Deep Indian Kitchen,"snacks,Frozen snacks and starters",
0011458003055,Pazzta,Maggi,Pasta,
0011620520120,French Vanilla Syrup,MONIN,,
00121495,nan,,,
0012345678912,foo,bar,,
00123654,nan,,,
0012530573459,nan,,,
0012553067096,nan,,,
0012661214078,Good life mixed dry fruits,Good Life,nuts,
0013026890210,nan,,,
00131001,Vikram jaluthriya,,1.60,
0013508818527,GL rajma chitra 500g,,,
0014087006114,nan,Bimbo,,
00143400,nan,,,
0014455001451,nan,,Соусы,
0015000047757,Yogurt blends snack,Gerber,,
0015020080000,nan,,,
0015100968800,First crop masoor malaka big 1g(3),,,
0015268000785,nan,,,
00157896,ghhh,,,
00161893,nan,,,
0017203630460,Break,,,
0018220103919,Nexam glow,,,
00200109,nan,,,
0020357122682,Milk,Mestla,"Dairies, Milks (liquid and powder), Milks",
0020361231024,2036123/0.24,,,
0020412090475,Cheddar cheese,Kraft,,
0020449970334,nan,,Viili,
0021000700714,nan,,,
0021009038979,nan,,,
00216639,Ciplox eye/ear drops,,,
00218818,nan,,,
0022080130001,Foundaton FV sk-forever,,,
00237023,nan,,,
00241015,nan,,,
0024433125123,Instant Khichdi Instant Rice & Moong Mix,Nirav,,
00244931,kurkure,kurkure,,
00256002,nan,,,
00260007,Aloe vera gel,patanjalo,,
0027440233300,Iyers plain papad 200 g,,,
00276161,URY SHESHA AYURVEDA RED SANCALWOOD SKUMKUKAOI NIGHT REPAIR CKEAM BRiSKTEeS REJUvENTES MADE ININOIA,,,
0027917001883,Gummy Vites,,,
0028161044275,Avocado oil,Indulgeoessentials,,
0028199000642,Hershey milk chocolate bars king-size 2.6Oz Bar 18 boxes of 12 bars,,,
0028400199544,nan,,,
0028418023787,nan,,,
00284211,dates,lion,,
00291238,Salted Potato Wafers,Noice,Potato crisps with salt,
00296556,attitude insta nourish herbals facewash,Attitude,,
0030005670700,Peanut Bar Chikki,Charliee,,
0030006720343,nan,Unknown Brand,,
0030199666008,Cheese,,,
00303002,Vikram jaluthriya,Wein & Vinos,"en:Condiments, en:Vinegars, en:Wine vinegars, en:White wine vinegars, en:Xeres vinegars",
0030769499036,nan,,,
0031347773982,Stik-O,,,
0031603555598,Creatine,Creatine,,
00320805,02 FEB 2024,,,
00324589,nan,,,
0032522906614,Nysa Body lotion,,,
00331231,plum cake,,,
00336846,METHI SEEDS,Mahesh,,
00338231,plum cake,,,
0034000070725,Hershey milk chocolate bars king-size 2.6Oz Bar 18 boxes of 12 bars,,,
0034000871766,Hershey milk chocolate bars king-size 2.6Oz Bar 18 boxes of 12 bars,,,
0034493365247,nan,,,
0034500011242,Papad,,,
0034661502030,nan,,,
00348835,nan,,,
0034893350041,SHARBAT-E-FIDA,,,
0035000102560,PRINGLES,PRINGLES,,
00359578,nan,,Food decorations,
0039442047076,nan,,,
00399368,Orix aqua,,,
0040000330936,nan,,,
0040045132359,nan,,,
0040210015524,Bikano shahi mixture 1kg,,,
0040332083302,Lotus cloves,Lotus,"spices,cloves",
0040404685083,nan,,,
0040459215327,Parle Rusk MRP 35,,,
0040600029674,NEGRO,Lindt,,
0041001017024,punjabi masala papad,Lijjat,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Flatbreads,Special breads,Papadum",
0041056003003,Masala Magic,maggi,en:spices,
0041218716581,Saffola Gold 5 Ltr(40),,,
0041240100044,Baggrey white oats,,,
0041292205100,nan,,"Powder-food-seasoning,D",
0041293365018,nan,,,
0041554588910,Maybelline Tattoo Studio,,,
0041554588927,Maybelline,,,
0041790600476,Olive oil extra virgin,Bertolli,en:extra-virgin-olive-oils,
00421001,nan,Unknown Brand,"Non food products,Open Pet Food Facts,Pet food",
00423872,nan,,The growths harvest,
0042506808674,Lakme compact,,,
0043000303863,Tang,Kraft foods,,
0043144299411,nan,,,
0044066000000,nan,,,
0044480906520,Garlic mixture,,,
00454106,nan,,,
0045485120003,vj8,,,
0045645134531,nan,,,
0045917794659,Indic Wisdom Wood Pressed Coconut Oil 1 Ltr,Indic Wisdom,coconut oil,
0045917794789,Indic Wisdom Wood Pressed Mustard Oil 1 Ltr,Indic Wisdom,mustard oil,
0045917794819,Indic Wisdom Wood Pressed Safflower Oil 1 Ltr,Indic Wisdom,Safflower oils,
0046019533108,nan,,,
0046403890404,nan,,,
0046415240013,Mms1,,,
0046455920111,nan,,,
0046607385676,AGRIRICH PURE GRAM FLOUR THE NUTRITIOUS POWERHOUSE,,,
0048107008468,Pure Isolate Protein,GNC,,
0048107198046,Melatonin,Gnc,,
0048107209414,nan,,,
0048107237561,Mega Man One Daily Vitamin,GNC,,
0048107237783,AMP Chocolate Why,GNC,,
0048107238216,Gnc All In One,Gnc,,
0048107238605,GNC Calcium Plus Tablets,GNC,,
0048107238803,Gnc Whey Protein,Gnc Whey,,
0048107238810,Pro Performance Power Protein Double Rich Chocolate,GNC,protein powder,
0048107238933,nan,,,
0048107238940,Creatine monohydrate,GNC,en:bodybuilding-supplements,
0048107238988,Pure Isolate Chocolate Frosting,GNC AMP,,
0048107239718,Pure Isolate Whey (Blueberry),GNC,,
0048107239725,Pro 100% Casein,GNC,,
0048107239800,vsbhs,shahh,Ebbs,
0048107241759,nan,,,
0048107251130,Pro Performance - Cookies & Cream,GNC,,
0048107251994,Whey Protein,GNC SELECT,,
0048107252489,Whey Protein,GNC Pro Performance 100% Whey,,
0048107255930,Coffee flavour Protein Wafer Bar,GNC,Protein bars,
0048107255947,Peanut Butter Protein Wafer,Gnc,,
00490800,nan,,,
0049084067806,nan,,,
00500018,nan,,,
0050041695501,Sf sonic battery,,,
0050046800065,nan,,,
0052990390333,Flax seeds,,,
00547560,nan,,,
00551281,Oreo dark chocolate creme flavored,Oreo,en:filled-biscuits,
0056690602284,nan,,,
0057711220401,nan,,,
00580979,nan,,,
00585301,castor oil,,,
0059946710467,Wheat pasta,Flipkart supermart,,
00599725,nan,,,
0061253363823,nan,,Britannia,
0061685959050,Tandoori Tofu,Health On Plants,,
0062322100028,nan,,,
0062781068174,nan,Divya,,
00630399,Organic Spicy Avocado Hummus,Trader Joe's,,
0066544413625,nan,,,
0067443213657,nan,,,
00674814,Whey Protein Bar - Coconut Almond,NO!CE,,
00697259,nan,,Food,
0070177079215,Twinings lemon and ginger,,,
0070177137069,twinings green tea,Twinings,,
0070177181659,twi lemon tea,Twinings,,
0070797005939,nan,,,
00708863,nan,,energy drink,
0071603093522,nan,,,
0071952640118,nan,,,
00727442,Noice Lime Kombucha,Noice,Kombuchas,
0073893212256,nan,,,
0074060020445,Good life  masal,,,
0074305801280,Bragg Apple Cider Vinegar,Bragg,,
0074878241148,nan,,,
0075486087845,Other Information protect,,,
0075856000665,Klondike bar original,Klondike,,
0076224739408,Almond,Wonderland,Almonds,
0076655440218,Organic Tattva Whole Wheat Flour 5 Kg,,,
0077855496555,nutella,nutella,fr:pates-a-tartiner,
0078602151338,Amul moti,,,
0078632120113,nan,,Oil,
0078678687688,xx,,,
0078895135886,Light Soy Sauce,Lee Kum Kee,,
0079400476081,nan,Dove,,
0080404104383,Nava Oil Spray,Indic Wisdom,,
0080432400395,nan,Chivas,,
0080668681964,nan,,0080668681964,
0080878191444,fortifying damage repair,pantene,,
0081200040300,Thums Up,Thumsup,,
0081204092305,nan,,,
0081555969905,L.A.Girl,,,
0081612954530,MTR rava dosa,,,
0081712116814,Baby cream,Mildness,,
00831711,nan,,,
