barcode,product_name,brands,categories,fssai_category_code,banned_item,banned_item_type,banned_in_jurisdictions,violation_reason,removal_reason
5000159501460,m,Mars,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.,Invalid/missing product name
28000247959,Chicken flavor bouillon tablets,Maggi,"Condiments, Groceries",CAT_12,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.,Dietary supplement / Non-food item
28000247959,Chicken flavor bouillon tablets,Maggi,"Condiments, Groceries",CAT_12,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.,Dietary supplement / Non-food item
7622210241672,Cadbury dairy milk marvellous creations chocolate tablet jelly popping candy shells,Cadbury,"Snacks, Sweet snacks, Confectioneries",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.,Dietary supplement / Non-food item
8908005144168,Protien bar,Yoga bar,Protein Energy Bars,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.,Dietary supplement / Non-food item
