barcode,product_name,brands,categories,slug,seo_status,seo_quality_score,has_ingredients,banned_reasons,ingredients_text,additives_tags
5000112609516,Coca-Cola Zero,Coca-Cola,"Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Sodas au cola, Sodas light, Sodas au cola light",coca-cola-zero-5000112609516,NOINDEX,75,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"eau gazéifiée ; colorant : e150d ; acidifiants : acide phosphorique, citrate de sodium ; 
édulcorants : aspartame, acésulfame-k ; arômes naturels (extraits végétaux), dont caféine. 
contient une source de phénylalanine.","['en:e150d', 'en:e331', 'en:e338', 'en:e950', 'en:e951']"
5960188034240,Pepsi Max Ginger,Pepsi,"Boissons, Boissons édulcorées",pepsi-max-ginger-5960188034240,NOINDEX,75,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"eau gazéifiée, colorant (caramel e150d), édulcorant (aspartame**, acesulfame-k), acidifiants (acide phosphorique, acide citrique), conservateur (sorbate de potassium), stabilisant (octenyle succinate d'amidon sodique e1450), arômes (dont caféine et extrait naturel de gingembre). **contient une source de phénylalanine","['en:e1450', 'en:e150d', 'en:e202', 'en:e330', 'en:e338', 'en:e950', 'en:e951']"
0070847019206,Ultra Red Energy Drink,Monster Energy,"Beverages, Carbonated drinks, Sodas",ultra-red-energy-drink-0070847019206,NOINDEX,75,True,[Allura Red AC (INS 129 - EU Warning Label)] ,"carbonated water, citric acid, taurine, erythritol, sodium citrate, panax ginseng extract, potassium sorbate (preservative), caffeine, acesulfame potassium, sodium benzoate (preservative), sucralose, d-calcium pantothenate (vit. b5), gum arabic, niacinamide (vit. b3), natural flavors, salt, ester gum, l-carnitine l-tartrate, guarana extract, d-glucuronolactone, inositol, pyridoxine hydrochloride (vit. b6), red #40, blue #1, cyanocobalamin (vit. b12).","['en:e129', 'en:e133', 'en:e202', 'en:e211', 'en:e330', 'en:e331', 'en:e414', 'en:e445', 'en:e950', 'en:e955', 'en:e968']"
5060896625546,Monster Energy Lewis Hamilton,Monster Energy,,monster-energy-lewis-hamilton-5060896625546,NOINDEX,70,True,[Tartrazine (INS 102 - EU Warning Label)] [Allura Red AC (INS 129 - EU Warning Label)] ,"sprankelend water, voedingszuur (citroenzuur), taurine (0,4%), zuurteregelaar (natriumcitraten), maltodextrin, aroma's, conserveermiddelen (kaliumsorbaat, natriumbenzoaat), zoetstoffen (sucralose, acesulfaam-k), cafeïne (0,03%), plantaardige oliën (kokosnoot, raapzaad), gemodificeerd zetmeel, vitamines [niacine, b6, riboflavine, b12], l-carnitine l-tartraat (0,004%), natriumchloride, inositol, kleurstoffen (e102, e129)","['en:e102', 'en:e129', 'en:e14xx', 'en:e202', 'en:e211', 'en:e330', 'en:e331', 'en:e950', 'en:e955']"
8906026504985,Cream Roll,Nafees,,cream-roll-8906026504985,INDEX,95,True,[Ponceau 4R (INS 124 - EU Warning / US Banned)] ,"<span class=""allergen"">wheat flour</span>, edible vegetable oil, icing sugar, <span class=""allergen"">butter</span>, salt, permitted food colour (e124), natural and nature-identical flavouring substances (strawberry)",['en:e124']
8906170521630,Yeast protein,Nutrabay,,yeast-protein-8906170521630,INDEX,95,True,[Sunset Yellow (INS 110 - EU Warning Label)] ,"fermented yeast protein, cocoa powder, coconut milk powder, nature identical (ins 415, e407), digestive enzymes (amylase, chocolate flavouring substances, emulsifier protease, lipase, lactase & cellulase), sodium chloride & sweetener (ins 955).","['en:e1100', 'en:e1101', 'en:e1104', 'en:e407', 'en:e415', 'en:e955']"
0000090357725,Coca-cola zéro,Coca-Cola zero,,coca-cola-zro-0000090357725,NOINDEX,70,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"carbonated water, dye: e150d, acidifiers: phosphoric acid, sodium citrate, sweeteners: aspartame, acesulfame-k, natural aromas (vegetable extracts), including caffeine, contains a source of phenylalanine,","['en:e150d', 'en:e331', 'en:e338', 'en:e950', 'en:e951']"
5000328030333,Chilli Heatwave,Doritos,,chilli-heatwave-5000328030333,NOINDEX,70,True,[MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"corn (maize), rapeseed oil, chilli heatwave flavour [sugar, flavourings, flavour enhancers (monosodium glutamate, disodium guanylate), potassium chloride, hydrolysed vegetable protein, salt, garlic powder, paprika powder, onion powder, acid (citric acid), cayenne pepper, colour (paprika extract)], antioxidants (rosemary extract, ascorbic acid, tocopherol rich extract, citric acid)","['en:e160c', 'en:e300', 'en:e306', 'en:e330', 'en:e392', 'en:e508', 'en:e621', 'en:e627']"
5941000033689,Beef Grilled Ribs Flavor,Lays,en:potato-crisps,beef-grilled-ribs-flavor-5941000033689,NOINDEX,75,True,[MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"cartofi, uleiuri vegetale [rapita, floarea soarelui, in proportii variabile; antioxidanti (extracte de rozmarin, acid ascorbic, extract bogat in tocoferol, acid citric)], zahar, proteina vegetala hidrolizata (contine sola). sare, condimente (ceapá pudra, usturoi pudrã, piper negru, piper alb), potentiatori de aroma (glutamat monosodic, 5'-ribonucleotide disodice), arome, ceapã präjità pudră, ardei gras verde pudrã, fäiná de roscove, corector de aciditate (acid citric), colorant (extract de ardei roşu), extract de cafea, ulei de floarea soarelui afumat, carne de vită pudră (0,006%). 110 картофен чипс с вкус на телешки ребра на скара. съставки: картофи, растителни масла [рапично, слънчогледово, в различни пропорции; антиоксиданти (екстракти от розмарин, аскорбинова киселина, екстракт богат на токоферол, лимонена киселина)], захар, хидролизиран растителен протеин (съдържа соя), сол, подправки (лук на прах, чесън на прах, черен пипер, бял пипер), подобрители на вкуса (мононатриев глутамат, динатриев 5'-рибонуклеотид), ароматизанти, печен лук на прах, зелена чушка на прах, брашно от рожков, регулатор на киселинността (лимонена киселина), оцветител (екстракт от паприка), екстракт от кафе, пушено слънчогледово олио, телешко месо на прах (0,006%). en pot to chips with grilled beef ribs flavour. ing edients: potato, vegetable oils [rapeseed, sunflower, in varying proportions; antioxidants (extracts of rosemary, ascorbic acid, tocopherol-rich extract, citric acid)], sugar, hydrolysed vegetable protein (contains soya), salt, spices (onion powder, garlic powder, black pepper, white pepper), flavour enhancers (monosodium glutamate, disodium 5'-ribonucleotide), flavorings, toasted onion powder, green bell pepper powder, carob flour, acidity regulator (citric acid), colour (paprika extract), coffee extract, smoked sunflower oil, beef powder (0,006%). do ca de ce co de l ** %*","['en:e160c', 'en:e306', 'en:e330', 'en:e392', 'en:e621', 'en:e635']"
7798146138178,Mayonesa,Heinz,"Condimentos, Salsas, Mayonesas, en:groceries",mayonesa-7798146138178,NOINDEX,75,True,[BHA - Butylated Hydroxyanisole (EU/US Restricted)] ,"ducidad: en chile: promer fono: 223990000 quilicura, santiag nvase. c kra ingredientes: agua, aceite de girasol (bht como antioxidante), azúcar, almidón de maiz, sal, vinagre, yema de huevo en polvo, huevo entero en polvo, jugo de imon (0,3%), estabillizante: goma xántica3; acidulante: acido cítrico, glucono delta lactona: conservante: sorbato de potasio; secuestrante: edta disódico cálcico; antioxidante: bht, bha; colora te: belacaroteno; aromatizante idéntico al naturl contiene huevo y sulfitos. a! /pregu st","['en:e202', 'en:e320', 'en:e321', 'en:e330', 'en:e385', 'en:e575']"
