barcode,product_name,brands,categories,slug,seo_status,seo_quality_score,has_ingredients,banned_reasons,ingredients_text,additives_tags
8908002984965,Millet muesli,Tata Soulfoul,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis,Cereals with nuts,Mueslis with nuts",millet-muesli-8908002984965,INDEX,100,True,[BHA - Butylated Hydroxyanisole (EU/US Restricted)] ,"rolled oats (33.6%), millets(20.2%) [jowar(10.2%), ragi(10%)], brown rice fakes (15%), seeds(12%) [flax(8%), chia(2%), pumpkin(2%)], corn flakes (5%), black raisins (4%), <span class=""allergen"">almonds</span> (3%), rice flour(4.2%), rice bran oil, chia seeds, anticaking agent [ins 170(i)] , natural flavour, antioxidant [ins(307(b), ins 320], acidity regulator[ins 330].","['en:e170', 'en:e170i', 'en:e307', 'en:e320', 'en:e330']"
8901786040506,Everest Jaljira Powder 50 g,Everest,Food,everest-jaljira-powder-50-g-8901786040506,INDEX,85,True,,"lodized salt                   
                            dried mango                   
                              rock salt                   
                              mint leaf                   
                                  cumin                   
                             black salt                   
                                 chilli                   
                           black pepper                   
                           dried ginger                   
compounded asafoetida  and citric acid",['en:e330']
8908012692430,Wellbeing Nutrition Natural B12 + D3,Wellbeing Nutrition,nutraceutical,wellbeing-nutrition-natural-b12-d3-8908012692430,INDEX,85,True,,"fruit and vegetable blend 10mg (t), vitamin b9 dfe (folic acid) 170mcg (100%), vitamk-7ⓡ vitamin k2 (as menaquinone) 55mcg (100%), vitamin b12 (as cyanocobalamin) 2.2mcg (100%), vitashine vegan vitamin d3 (as cholecalciferol) 600iu (100%), pullulan, cellulose, natural mango flavor, licorice extract, sunflower lecithin,monk fruit extract","['en:e100', 'en:e1204', 'en:e322', 'en:e322i', 'en:e460']"
8906003071264,Milkmade 100% Whole Wheat Bread,Milkmade,breads,milkmade-100-whole-wheat-bread-8906003071264,INDEX,100,True,[Sunset Yellow (INS 110 - EU Warning Label)] ,"refined wheat flour, atta, water, yeast, sugar, edible common salt, <span class=""allergen"">soya flour</span>, vegetable oil, bran, permitted class il preservative (e-282), <span class=""allergen"">oats</span>, improver (ins 1701,1100,1104, 4811, 472, 300), acidity regulator (e-260)","['en:e1100', 'en:e1104', 'en:e260', 'en:e282', 'en:e300', 'en:e472']"
8908010213088,Nacho chips,1,,nacho-chips-8908010213088,INDEX,90,True,,"corn (68%), edible vegetable oil (corn oil), sugar, corn starch, spices ,  condiments (onion, chili, jalapeno, parsley, garlic), iodised salt, herbs (0.8%), black salt, acidity regulator (ins 262 (ii), ins 330, ins 296), flavouring, anti-caking agent (ins 551)","['en:e262', 'en:e262ii', 'en:e296', 'en:e330', 'en:e551']"
8904335601869,Yoga bar 23G protein muesli + choco almond + cranberry,Yoga bar,en:mueslis,yoga-bar-23g-protein-muesli-choco-almond-cranberry-8904335601869,INDEX,100,True,,"whole grains 48% (rolled oats, brown rice flakes, quinoa flakes), protein blend (<span class=""allergen"">soy</span> and whey protein isolate), dehydrated fruits, <span class=""allergen"">nuts</span> and seeds 17% (dates, cranberry, raisins, <span class=""allergen"">almonds</span>, pumpkin and chia seeds), dark chocolate (cocoa, cocoa butter, sugar, sunflower lecithin), jaggery, rice bran oil, probiotics (bacillus coagulans snz1969, 150 million cfu per serve).contains added natural flavour: rosemary extract
and chocolate.","['en:e322', 'en:e322i']"
8906027946234,Vegetable Fried Rice,Eat Regal Gourmet,,vegetable-fried-rice-8906027946234,INDEX,80,True,,"water, long grain white rice, refined sunflower oil, sweet corn, green peas, salt, red bell pepper, carrot, tomato, soya powder, sugar, garlic, yeast extract, onion, soya sauce (<span class=""allergen"">soybeans</span>, salt, rice, sugar, water), guar gum, xanthan gum, lactic acid, white pepper.","['en:e270', 'en:e412', 'en:e415']"
8901262200011,Masti Dahi,Amul,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, Curd, en:fruit-yogurts",masti-dahi-8901262200011,INDEX,100,True,,"pasteurised toned milk, milk solids, active culture. allergen information: contains milk.",[]
8906133100063,Snacky,Karachi bakery,"Snacks,Sweet snacks,Confectioneries",snacky-8906133100063,INDEX,100,True,,"sugar, cocoa solids, milk solids, edible vegetables oil, say lecithin, hazelnut, corn flakes, flour & natural flavours.","['en:e322', 'en:e322i']"
8901192219220,Catch Super Garam Masala,Catch,Condiments,catch-super-garam-masala-8901192219220,INDEX,85,True,,"coriander whole, cumin whole, cloves whole, chillies and capsicum whole, lodized salt, bay leaves, pepper black whole, ginger whole, fennel whole, curcumin whole, cardamom whole, turmeric whole, cassia whole, large cardamom whole.",[]
